Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1,Dataset,Task,MAE,RMSE,R2
1,5,Gradient Boosting,0.035919299989473075,,,,,diabetes_regression,regression,49.152051723578346,58.5242571823788,0.3870175775324406
2,1,Linear Regression,0.009670900006312877,,,,,diabetes_regression,regression,41.02966715065322,50.54525883415824,0.6083610957824861
2,1,Decision Tree,0.012453400006052107,,,,,diabetes_regression,regression,55.48023472212529,69.97152374436635,0.2494707195577165
2,1,Random Forest,0.3675082999980077,,,,,diabetes_regression,regression,44.80483146067415,52.82434822284643,0.572246795769668
2,1,Gradient Boosting,0.036159500014036894,,,,,diabetes_regression,regression,45.189970614206295,54.54275877536993,0.5439639464819706
2,2,Linear Regression,0.009597199998097494,,,,,diabetes_regression,regression,45.40207853978878,58.27161880972886,0.4107431228353312
2,2,Decision Tree,0.011784500005887821,,,,,diabetes_regression,regression,56.8058632067059,72.45674038917402,0.08893769403505569
2,2,Random Forest,0.36157559999264777,,,,,diabetes_regression,regression,46.316516853932576,57.264440708548975,0.43093674933856385
2,2,Gradient Boosting,0.0360736999718938,,,,,diabetes_regression,regression,48.356452579191725,58.522771038084464,0.4056527509503126
2,3,Linear Regression,0.009879899997031316,,,,,diabetes_regression,regression,49.24464682115734,59.584241414401625,0.4135531634987848
2,3,Decision Tree,0.012504899990744889,,,,,diabetes_regression,regression,61.69602235145796,77.7359731352485,0.0018176231950312038
2,3,Random Forest,0.36659329998656176,,,,,diabetes_regression,regression,48.90829545454546,60.47595779804492,0.3958687107715281
2,3,Gradient Boosting,0.03734239999903366,,,,,diabetes_regression,regression,49.56392666396718,59.4356733304318,0.41647402507767084
2,4,Linear Regression,0.009986799996113405,,,,,diabetes_regression,regression,40.916606228286106,52.35181516523143,0.4472015188755416
2,4,Decision Tree,0.011986400000751019,,,,,diabetes_regression,regression,51.95438893988849,70.10374723827796,0.00874402510062211
2,4,Random Forest,0.3677640999958385,,,,,diabetes_regression,regression,40.58261363636363,52.86963500613389,0.43621180659552516
